,transition_ts,category,idea_id,booking_request_id,to_state,space_id,country,city,portfolio_type,floor_size,floor_size_unit,start_on,end_on,price
111,2018-06-06 13:35:35.551,popup_shop,29,140873,submitted,5967,FR,Paris,3.0,24,1,2018-07-02 00:00:00,2018-07-22 00:00:00,207000
112,2018-06-08 07:00:54.691,popup_shop,29,140873,declined,5967,FR,Paris,3.0,24,1,2018-07-02 00:00:00,2018-07-22 00:00:00,207000
113,2018-06-07 08:38:22.004,popup_shop,29,140895,declined,4062,FR,Paris,3.0,50,1,2018-07-02 00:00:00,2018-07-22 00:00:00,297000
114,2018-06-06 14:04:44.104,popup_shop,29,140895,submitted,4062,FR,Paris,3.0,50,1,2018-07-02 00:00:00,2018-07-22 00:00:00,297000
115,2018-07-20 11:03:58.609,gallery,30,146659,declined,5901,GB,London,8.0,900,0,2018-09-28 00:00:00,2018-09-30 00:00:00,75000
116,2018-07-20 11:03:29.027,gallery,30,146661,declined,6192,GB,London,3.0,280,0,2018-09-28 00:00:00,2018-09-30 00:00:00,54000
117,2018-07-20 11:03:49.355,gallery,30,146660,declined,3826,GB,London,8.0,1600,0,2018-10-05 00:00:00,2018-10-07 00:00:00,210000
118,2018-07-11 09:49:16.697,gallery,30,146438,submitted,3574,GB,London,8.0,600,0,2018-09-28 00:00:00,2018-10-01 00:00:00,57140
119,2018-07-12 09:04:10.436,gallery,30,146438,submitted,3574,GB,London,8.0,600,0,2018-09-28 00:00:00,2018-10-01 00:00:00,57140
120,2018-07-16 12:11:34.935,gallery,30,146438,declined,3574,GB,London,8.0,600,0,2018-09-28 00:00:00,2018-10-01 00:00:00,57140
121,2018-07-20 11:03:21.585,gallery,30,146658,declined,6268,GB,London,7.0,2800,0,2018-09-28 00:00:00,2018-09-30 00:00:00,150000
122,2018-08-15 19:32:23.308,private_event,35,152332,submitted,4190,US,New York,3.0,1800,0,2018-09-11 00:00:00,2018-09-11 00:00:00,160000
123,2018-08-15 20:09:29.041,private_event,35,152332,declined,4190,US,New York,3.0,1800,0,2018-09-11 00:00:00,2018-09-11 00:00:00,160000
124,2018-08-15 20:23:22.639,private_event,35,152329,declined,4945,US,New York,3.0,1250,0,2018-09-11 00:00:00,2018-09-11 00:00:00,144000
125,2018-08-15 19:22:44.683,private_event,35,152329,submitted,4945,US,New York,3.0,1250,0,2018-09-11 00:00:00,2018-09-11 00:00:00,144000
126,2018-08-15 20:11:59.179,private_event,35,152331,declined,6404,US,New York,7.0,1600,0,2018-09-11 00:00:00,2018-09-11 00:00:00,100000
127,2018-08-15 19:26:31.963,private_event,35,152331,submitted,6404,US,New York,7.0,1600,0,2018-09-11 00:00:00,2018-09-11 00:00:00,100000
128,2018-08-15 20:11:49.370,private_event,35,152331,matched,6404,US,New York,7.0,1600,0,2018-09-11 00:00:00,2018-09-11 00:00:00,100000
129,2018-08-17 01:02:15.231,private_event,35,152683,submitted,6501,US,New York,3.0,2500,0,2018-09-11 00:00:00,2018-09-11 00:00:00,156200
130,2018-08-20 14:15:29.420,private_event,35,152683,declined,6501,US,New York,3.0,2500,0,2018-09-11 00:00:00,2018-09-11 00:00:00,156200
131,2018-08-15 19:24:37.735,private_event,35,152330,submitted,6207,US,New York,3.0,2500,0,2018-09-11 00:00:00,2018-09-11 00:00:00,125000
132,2018-08-20 13:28:53.476,private_event,35,152330,declined,6207,US,New York,3.0,2500,0,2018-09-11 00:00:00,2018-09-11 00:00:00,125000
133,2018-08-20 14:15:20.282,private_event,35,152680,declined,5157,US,New York,3.0,3000,0,2018-09-11 00:00:00,2018-09-11 00:00:00,160000
134,2018-08-17 00:41:18.010,private_event,35,152680,submitted,5157,US,New York,3.0,3000,0,2018-09-11 00:00:00,2018-09-11 00:00:00,160000
