,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2577,171239.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,13.0,291.7933239699074,sup_15j,10_15
2578,113915.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,3.0,6.016722060185185,3j_15j,3_5
2579,175039.0,declined,declined,FR,Paris,paris,1.0,3.0,40_60,1_5millions,14.0,329.04653631944444,sup_15j,10_15
2580,171243.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,13.0,291.7933271180556,sup_15j,10_15
2581,167918.0,submitted / declined,declined,FR,Paris,paris,1.0,6.0,inf_20,200k_500k,14.0,273.9771092361111,sup_15j,10_15
2582,115810.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,6.0,54.97979778935185,sup_15j,5_7
2583,124583.0,declined,declined,FR,Paris,paris,1.0,5.0,20_40,100k_200k,6.0,276.99220347222223,sup_15j,5_7
2584,124584.0,declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,13.0,276.99211961805554,sup_15j,10_15
2585,167919.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,200k_500k,14.0,273.9771099537037,sup_15j,10_15
2586,175040.0,declined,declined,FR,Paris,paris,1.0,3.0,100_200,200k_500k,14.0,329.0466387268518,sup_15j,10_15
2587,168295.0,declined,declined,FR,Paris,paris,1.0,3.0,60_80,500k_1millions,22.0,291.8166379976852,sup_15j,15_30
2588,171241.0,submitted / declined,declined,FR,Paris,paris,1.0,5.0,20_40,100k_200k,13.0,291.7933256134259,sup_15j,10_15
2593,143293.0,submitted / matched / declined / declined,declined,US,New York,new york,1.0,3.0,80_100,200k_500k,2.0,7.016879930555556,3j_15j,inf_3
2597,142593.0,submitted / declined,declined,US,Brooklyn,brooklyn,0.0,3.0,60_80,100k_200k,2.0,2.9966438657407406,1j_3j,inf_3
2599,132459.0,submitted / matched / declined,declined,GB,London,london,1.0,1.0,80_100,100k_200k,4.0,1.2286297453703703,1j_3j,3_5
2600,132337.0,submitted / declined,declined,GB,London,london,1.0,1.0,100_200,100k_200k,7.0,1.0185185185185185e-06,less_10s,7_10
2603,139428.0,submitted / matched / booked,booked,GB,London,london,1.0,3.0,40_60,50k_100k,2.0,42.069375173611114,sup_15j,inf_3
2605,179051.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,50k_100k,1.0,1.724537037037037e-06,less_10s,inf_3
2606,150335.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,20_40,1_5millions,152.0,1.1689814814814815e-06,less_10s,sup_30
2607,157061.0,declined,declined,FR,Paris,paris,1.0,3.0,20_40,200k_500k,7.0,67.93073307870371,sup_15j,7_10
2614,141674.0,submitted / declined,declined,US,New York,new york,1.0,8.0,sup_200,sup_5millions,29.0,6.828703703703704e-07,less_10s,15_30
2615,171510.0,submitted / submitted / matched / declined,declined,GB,Leeds ,leeds,0.0,1.0,20_40,100k_200k,31.0,1.7708333333333332e-06,less_10s,sup_30
2617,154649.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,sup_5millions,30.0,0.005538969907407407,10s_1h,15_30
2618,154721.0,submitted / declined,declined,GB,London,london,1.0,2.0,40_60,500k_1millions,27.0,0.9093843402777778,1h_1j,15_30
2619,154647.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,30.0,1.5856481481481483e-06,less_10s,15_30
