,id,city,space_id,idea_id,start_on,end_on,price_pounds
7395,161976,Manchester,6341,1431,2018-10-03 00:00:00,2018-10-04 00:00:00,6000
7398,162538,Manchester,6341,1431,2018-10-10 00:00:00,2018-10-25 00:00:00,48090
7451,143282,New York,6175,1437,2018-06-20 00:00:00,2018-07-01 00:00:00,1440000
7539,145730,London,3265,1456,2018-07-15 00:00:00,2018-07-15 00:00:00,8000
7545,151290,London,383,1457,2018-09-10 00:00:00,2018-09-16 00:00:00,87500
7566,155120,New York,2925,1462,2018-11-07 00:00:00,2018-11-13 00:00:00,357500
7624,112783,Aix-en-Provence,2897,1477,2018-05-17 00:00:00,2018-05-19 00:00:00,106500
7670,127331,London,368,1478,2018-07-09 00:00:00,2018-07-15 00:00:00,175000
7701,144617,New York,5241,1490,2018-08-20 00:00:00,2018-09-09 00:00:00,532500
7789,172641,London,4607,1520,2019-02-04 00:00:00,2019-02-17 00:00:00,315864
7807,142851,London,2787,1520,2018-06-21 00:00:00,2018-07-06 00:00:00,429375
7902,179398,London,2073,1535,2018-11-16 00:00:00,2018-11-18 00:00:00,750000
8086,144368,New York,5698,1566,2018-09-09 00:00:00,2018-11-13 00:00:00,5280000
8135,174455,London,3090,1573,2018-11-30 00:00:00,2018-11-30 00:00:00,14996
8478,144232,London,4411,1627,2018-10-26 00:00:00,2018-10-28 00:00:00,150000
8521,149826,New York,6207,1635,2018-09-05 00:00:00,2018-09-05 00:00:00,125000
8556,122362,Paris,5032,1648,2018-03-26 00:00:00,2018-03-26 00:00:00,15000
8559,122366,Paris,5032,1648,2018-07-10 00:00:00,2018-07-11 00:00:00,30000
8562,122365,Paris,5032,1648,2018-05-29 00:00:00,2018-05-30 00:00:00,30000
8630,125235,London,4643,1659,2018-06-05 00:00:00,2018-06-07 00:00:00,51300
8682,152314,London,3090,1681,2018-08-23 00:00:00,2018-08-23 00:00:00,12500
8721,156952,London ,6569,1689,2018-09-28 00:00:00,2018-09-28 00:00:00,20000
8729,177084,London,5563,1692,2018-12-05 00:00:00,2018-12-05 00:00:00,4000
8730,168731,London,5563,1697,2018-12-05 00:00:00,2018-12-05 00:00:00,4000
8734,175869,London,368,1698,2019-03-25 00:00:00,2019-03-31 00:00:00,175000
8931,157319,London ,6569,1739,2018-09-28 00:00:00,2018-09-28 00:00:00,20000
8982,114621,New York,4981,1757,2018-03-07 00:00:00,2018-03-13 00:00:00,250000
9020,125366,London,5563,1764,2018-03-28 00:00:00,2018-03-28 00:00:00,4000
9047,161672,Paris,6247,1771,2018-12-17 00:00:00,2019-01-17 00:00:00,373333
9066,157875,London,5563,1774,2018-11-21 00:00:00,2018-11-21 00:00:00,4000
9069,150448,London,5563,1774,2018-09-12 00:00:00,2018-09-26 00:00:00,60000
9072,157514,London,5563,1774,2018-10-10 00:00:00,2018-10-24 00:00:00,60000
9075,180810,London,5563,1774,2019-01-30 00:00:00,2019-02-13 00:00:00,8000
9076,150318,London,5562,1774,2018-08-24 00:00:00,2018-10-26 00:00:00,384000
9081,147066,London,5562,1774,2018-08-03 00:00:00,2018-08-03 00:00:00,6000
9084,177434,London,5562,1774,2018-12-14 00:00:00,2018-12-14 00:00:00,6000
9085,178483,London,5562,1774,2018-12-14 00:00:00,2019-01-11 00:00:00,12000
9086,182049,London,5562,1774,2019-01-18 00:00:00,2019-01-18 00:00:00,6000
9097,157874,London,5562,1774,2018-11-02 00:00:00,2018-11-02 00:00:00,6000
9101,164637,London,5562,1774,2018-11-16 00:00:00,2018-11-23 00:00:00,48000
9103,180809,London,5562,1774,2019-01-25 00:00:00,2019-02-01 00:00:00,12000
9105,166215,London,4912,1774,2018-12-20 00:00:00,2018-12-21 00:00:00,12000
9108,159378,London,4912,1774,2018-12-17 00:00:00,2018-12-19 00:00:00,18000
9128,115878,Paris,5344,1778,2018-02-12 00:00:00,2018-02-14 00:00:00,195000
9164,157202,New York,6377,1782,2018-09-14 00:00:00,2018-09-14 00:00:00,200000
9198,141546,London,238,1789,2018-07-20 00:00:00,2018-07-20 00:00:00,200000
9203,122274,York,4473,1790,2018-04-02 00:00:00,2018-04-07 00:00:00,30000
9214,117762,London ,5476,1791,2018-03-24 00:00:00,2018-03-25 00:00:00,34000
9226,127179,London,5622,1791,2018-06-23 00:00:00,2018-06-24 00:00:00,9000
9247,138705,London,5790,1794,2018-07-09 00:00:00,2018-07-16 00:00:00,243390
9301,160197,Manchester,6341,1799,2018-09-26 00:00:00,2018-09-28 00:00:00,9000
9316,155655,Paris,1409,1808,2019-01-14 00:00:00,2019-01-24 00:00:00,250250
9382,113901,Paris,2753,1817,2018-03-24 00:00:00,2018-03-24 00:00:00,200000
9403,124171,London,5765,1821,2018-05-01 00:00:00,2019-04-30 00:00:00,10037500
9488,158525,Paris,6223,1831,2018-11-15 00:00:00,2018-11-17 00:00:00,90000
9546,135767,Birmingham,1961,1841,2018-11-05 00:00:00,2018-11-18 00:00:00,130000
9679,140516,Queens ,6108,1855,2018-06-11 00:00:00,2018-06-11 00:00:00,24000
9692,174596,Paris,6350,1859,2018-12-13 00:00:00,2018-12-13 00:00:00,15000
9747,140685,London,232,1864,2018-09-13 00:00:00,2018-09-22 00:00:00,860000
9749,149613,London,232,1864,2018-09-24 00:00:00,2018-09-24 00:00:00,86000
9753,147984,London,232,1864,2018-09-23 00:00:00,2018-09-23 00:00:00,86000
9851,178748,London ,6807,1884,2019-01-14 00:00:00,2019-01-20 00:00:00,46001
9936,156528,Liverpool,2288,1919,2018-10-28 00:00:00,2018-11-10 00:00:00,74900
9983,130190,Paris,2051,1928,2018-04-20 00:00:00,2018-04-26 00:00:00,73000
10025,145537,Brooklyn,6298,1935,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
10036,128240,Brooklyn,5277,1936,2018-04-27 00:00:00,2018-04-28 00:00:00,120000
10113,142875,Birmingham,6267,1945,2018-06-29 00:00:00,2018-07-08 00:00:00,270127
10148,160779,London,4912,1949,2018-12-18 00:00:00,2018-12-18 00:00:00,6000
10231,147296,London,6253,1969,2018-09-12 00:00:00,2018-09-12 00:00:00,49315
10234,143762,London,6253,1969,2018-09-13 00:00:00,2018-10-14 00:00:00,1605000
10239,160251,London,6253,1969,2018-10-15 00:00:00,2018-11-04 00:00:00,1139100
10316,139949,London,1764,1982,2018-06-08 00:00:00,2018-06-08 00:00:00,3800
10319,139950,London,1764,1982,2018-06-15 00:00:00,2018-06-15 00:00:00,3800
10397,133794,London,3809,1996,2018-05-11 00:00:00,2018-05-20 00:00:00,10010
10425,170716,Paris,6631,2001,2018-11-27 00:00:00,2018-11-29 00:00:00,135000
10447,148370,London,6264,2005,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
10451,149300,London,6434,2005,2018-09-29 00:00:00,2018-09-29 00:00:00,1500
10460,150545,London,5562,2005,2018-09-14 00:00:00,2018-09-21 00:00:00,48000
10464,150273,London,5562,2005,2018-08-31 00:00:00,2018-09-07 00:00:00,48000
10475,145535,Brooklyn,6298,2008,2018-07-14 00:00:00,2018-07-15 00:00:00,25000
10479,165273,Paris,6247,2009,2019-01-25 00:00:00,2019-01-29 00:00:00,100000
10531,176972,London,6941,2017,2018-12-08 00:00:00,2018-12-23 00:00:00,0
10584,116353,London,5143,2029,2018-02-13 00:00:00,2018-02-26 00:00:00,8400
10649,155450,Paris,3250,2041,2019-01-16 00:00:00,2019-01-22 00:00:00,225000
10686,126513,London ,4920,2056,2018-04-19 00:00:00,2018-05-02 00:00:00,240000
10786,147786,London,6264,2078,2018-08-25 00:00:00,2018-08-25 00:00:00,1500
10789,165178,Manchester,6341,2079,2018-11-30 00:00:00,2018-11-30 00:00:00,3000
10792,167801,Manchester,6341,2079,2018-12-03 00:00:00,2018-12-07 00:00:00,15000
10813,143247,London,5563,2094,2018-08-01 00:00:00,2018-08-01 00:00:00,4000
10818,164213,London,5563,2094,2018-10-24 00:00:00,2018-11-21 00:00:00,116000
10820,152380,London,5563,2094,2018-09-26 00:00:00,2018-10-10 00:00:00,60000
10827,152381,London,5562,2094,2018-10-05 00:00:00,2018-10-12 00:00:00,48000
10830,161673,London,4912,2094,2018-12-19 00:00:00,2018-12-21 00:00:00,18000
10865,156623,London,6121,2098,2018-10-17 00:00:00,2019-04-15 00:00:00,1048014
11006,170895,London,1059,2121,2019-02-28 00:00:00,2019-03-06 00:00:00,119997
11224,121383,London,5573,2161,2018-07-02 00:00:00,2018-10-02 00:00:00,657200
11266,149960,Paris,6055,2172,2018-09-17 00:00:00,2018-09-17 00:00:00,360000
11316,153489,London,5803,2180,2018-11-03 00:00:00,2018-11-17 00:00:00,214000
11350,163099,New York,6630,2183,2018-11-06 00:00:00,2018-11-08 00:00:00,495000
11353,130678,London ,2383,2184,2018-05-11 00:00:00,2018-05-12 00:00:00,20000
11387,142254,Paris,5289,2186,2018-06-22 00:00:00,2018-06-25 00:00:00,175200
11444,176961,London,6909,2198,2018-12-08 00:00:00,2018-12-23 00:00:00,125024
11541,152579,London,6268,2214,2018-09-14 00:00:00,2018-09-16 00:00:00,150000
